backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,decay,5.0,0.9,0.995,3,OOD,ImageNet-A,31.03,652.47
RN50,decay,5.0,0.9,0.995,3,cross-domain,DTD,43.44,20.49
